time, id1, id2, amount, message
2016-11-02 09:49:29,52575.0,1120.0,25.32, Spam 
2016-11-02 09:49:29,47424.0,5995.0,19.45, Food for 🌽 😎 
2016-11-02 09:49:29,76352.0,64866.0,14.99, Clothing 
2016-11-02 09:49:29,20449.0,1552.0,13.48, LoveWins 
2016-11-02 09:49:29,48676.0,19395.0,29.94, Jeffs still fat 
2016-11-02 09:49:29,6681.0,49196.0,19.75, Seafood and 🍷 
2016-11-02 09:49:29,33114.0,33106.0,17.77, Wigglytuff 
2016-11-02 09:49:29,34424.0,2844.0,20.76, 👍🏼 
2016-11-02 09:49:29,35149.0,24068.0,11.62, Dumplings 
2016-11-02 09:49:29,68884.0,26032.0,44.7, The good time last night ;) 
2016-11-02 09:49:29,11102.0,3827.0,24.78, Open Champ 3rd 🏆💲 
2016-11-02 09:49:29,36020.0,3081.0,17.78, For expenses on splitwise.com 
2016-11-02 09:49:29,12506.0,24675.0,18.82, Gimme duh money already geez 
2016-11-02 09:49:29,66750.0,21442.0,22.46, 🚖 
2016-11-02 09:49:29,42252.0,32471.0,36.48, Tommy's 
2016-11-02 09:49:29,31481.0,47752.0,23.37, Inviting me to party then making me pay for it 
2016-11-02 09:49:29,11594.0,37307.0,35.86, Sugar momma fees 
2016-11-02 09:49:29,51136.0,6301.0,19.15, The difference 
2016-11-02 09:49:29,37017.0,25704.0,15.77, 🍳☕ 
2016-11-02 09:49:29,12383.0,28745.0,13.14, For the small boo 2 
2016-11-02 09:49:29,33956.0,26402.0,13.54, 💉 
2016-11-02 09:49:29,18897.0,49479.0,11.47, 🌮 
2016-11-02 09:49:29,13035.0,1065.0,28.2, Paq loss 😥😥 
2016-11-02 09:49:29,70365.0,30037.0,30.54, Kal birthday 
2016-11-02 09:49:29,40773.0,8755.0,20.41, 🍕 
2016-11-02 09:49:29,16884.0,26870.0,15.93, I scream you scream we both scream for 🍦 
2016-11-02 09:49:29,29298.0,19054.0,16.97, You told me to do this for the Sunkist 😢 
2016-11-02 09:49:29,62440.0,20971.0,26.27, ASDRUBALLLLL 
2016-11-02 09:49:29,20479.0,6280.0,11.28, Spooky spectre 
2016-11-02 09:49:29,68081.0,23982.0,34.52, Lemonade and apple cider 
2016-11-02 09:49:29,51848.0,8336.0,15.23, Happy hour 
2016-11-02 09:49:29,11220.0,56681.0,44.29, 🍸🍸✌️🏈 
2016-11-02 09:49:29,34861.0,18825.0,22.0, Milk & Hops🍻 
2016-11-02 09:49:29,72631.0,38163.0,16.92, 🍺🍺 
2016-11-02 09:49:29,20126.0,734.0,13.8, Clint and Jens gift 
2016-11-02 09:49:29,58443.0,7988.0,46.54, 🐮 
2016-11-02 09:49:29,71076.0,32313.0,17.8, Hotdog 
2016-11-02 09:49:29,23.0,1118.0,8.9, Tha ca$h money baby! 💸💰💵 
2016-11-02 09:49:29,3386.0,34794.0,1.02, Classy af 🍸 
2016-11-02 09:49:29,59133.0,12694.0,19.07, Cleaning my 🕓. 🤕 
2016-11-02 09:49:29,765.0,28688.0,28.6, for Pho goodness and gas in Buffalo 
2016-11-02 09:49:29,31891.0,2485.0,18.76, Versace 
2016-11-02 09:49:29,30476.0,35451.0,15.08, Return 
2016-11-02 09:49:29,6888.0,3882.0,16.59, 🚕 
2016-11-02 09:49:29,13980.0,225.0,25.4, Small proof 
2016-11-02 09:49:29,71320.0,33082.0,22.48, Cinderella's 
2016-11-02 09:49:29,64872.0,18543.0,30.13, 😎😍😂 
2016-11-02 09:49:29,34180.0,61438.0,19.31, Billzzz 
2016-11-02 09:49:29,31312.0,8880.0,28.93, I dunno 
2016-11-02 09:49:29,40936.0,4679.0,17.95, 🚕 
2016-11-02 09:49:29,54962.0,26637.0,24.99, Condom 
2016-11-02 09:49:29,16399.0,8325.0,16.5, 😛 
2016-11-02 09:49:29,28428.0,4805.0,1.54, 🐥 
2016-11-02 09:49:29,58547.0,69773.0,14.55, 🚕🙈 
2016-11-02 09:49:29,48474.0,42795.0,19.97, for WiFi 
2016-11-02 09:49:29,46141.0,13612.0,19.47, 🍉🌽🍖🍔🍕🌯🌮 
2016-11-02 09:49:29,32913.0,6610.0,21.81, Dresser 
2016-11-02 09:49:29,24200.0,1319.0,20.16, Rent 
2016-11-02 09:49:29,68371.0,5104.0,23.37, 🚖 
2016-11-02 09:49:29,68533.0,25174.0,17.9, U31 
2016-11-02 09:49:29,64969.0,63204.0,7.12, Fishies 
2016-11-02 09:49:29,15736.0,10650.0,16.79, Drawing 
2016-11-02 09:49:29,15202.0,47048.0,18.79, for best meal ever 
2016-11-02 09:49:29,8918.0,43245.0,24.55, Cab 
2016-11-02 09:49:29,39667.0,61459.0,25.58, 💡 
2016-11-02 09:49:29,37869.0,7669.0,18.22, ☮ 
2016-11-02 09:49:29,8041.0,22024.0,14.58, Cause f*ck you 
2016-11-02 09:49:29,7695.0,143.0,37.88, Brekky 
2016-11-02 09:49:29,40378.0,7734.0,20.6, Chicago river cruise 
2016-11-02 09:49:29,66297.0,20620.0,19.0, 💪🏼 
2016-11-02 09:49:29,35241.0,41817.0,19.41, Chicago steak house 🍴 
2016-11-02 09:49:29,12584.0,8104.0,13.12, MAK 
2016-11-02 09:49:29,41503.0,9785.0,5.89, Being friends 
2016-11-02 09:49:29,18991.0,2943.0,42.27, 🍕🍷 
